Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10257.5000,8.4185,95.8451,59.7048,27.0117,28.6897,4.2779,2.7115,0.1978
10258.0000,8.4150,94.9268,59.3627,28.2076,27.0224,3.6530,2.4293,0.2003
10258.5000,8.4144,94.6295,59.4581,28.0708,25.8593,3.1862,2.1470,0.2020
10259.0000,8.4138,94.4876,60.6026,27.1670,24.8224,2.9060,1.9946,0.2008
10259.5000,8.4132,94.3456,63.3173,26.1471,24.3931,2.7919,1.9290,0.1996
10260.0000,8.4125,94.2037,64.6860,25.3908,24.3689,2.6778,1.8633,0.1984
10260.5000,8.4119,94.1393,64.1448,25.8046,24.4577,2.6474,1.8183,0.1971
10261.0000,8.4154,94.1266,61.4248,26.5109,24.9984,2.6729,1.8560,0.1978
10261.5000,8.4217,94.1139,58.9765,26.6951,25.5391,2.6984,1.8936,0.2018
10262.0000,8.4280,94.1012,58.3217,26.7487,26.0798,2.7240,1.9354,0.2061
10262.5000,8.4342,94.4225,60.3569,26.0190,25.1714,2.7286,1.9834,0.2079
10263.0000,8.4405,94.8272,60.6892,25.0934,24.6661,2.7019,2.0314,0.2052
10263.5000,8.4468,95.2729,60.5958,27.3011,25.0036,2.6752,2.0381,0.2023
10264.0000,8.4530,95.8827,58.6426,27.5722,25.3237,2.6486,2.0175,0.1989
10264.5000,8.4513,96.4924,57.4698,27.2540,25.6178,2.7442,1.9454,0.1994
10265.0000,8.4442,97.1021,57.1274,26.9359,26.0938,2.9215,1.8612,0.2021
10265.5000,8.4372,95.1483,56.7850,25.0674,27.2973,3.0987,1.7288,0.2091
10266.0000,8.4301,95.0387,55.6122,24.7946,28.2850,3.1750,1.5963,0.2162
10266.5000,8.4231,96.1585,53.1940,25.3081,28.9489,2.9512,1.4639,0.2317
10267.0000,8.4160,97.2784,50.7758,26.3458,29.1634,2.2070,1.3915,0.2472
10267.5000,8.4154,97.3414,55.9059,27.3353,27.5799,1.7449,1.3341,0.2711
10268.0000,8.4148,95.8193,62.3644,28.2524,25.8774,1.9257,1.2767,0.2726
10268.5000,8.4142,95.3045,66.8908,28.8703,24.1749,2.1065,1.2712,0.2758
10269.0000,8.4136,95.4614,70.0131,29.4134,22.2423,1.9837,1.2787,0.2802
10269.5000,8.4261,95.6183,72.1994,29.9565,21.9603,2.1180,1.3045,0.2763
10270.0000,8.4474,95.2091,73.1974,30.3442,22.8399,2.4365,1.3350,0.2709
10270.5000,8.4569,93.9509,69.4422,30.4988,23.7534,2.7724,1.3655,0.2643
